ts_start,packets_per_sec,bytes_per_sec,entropy_src_ip,entropy_dst_ip,syn_ratio
1766652843.891711,60.0,45605.0,5.906890595608518,5.7068905956085185,0.2
1766652844.891711,60.0,54968.0,5.906890595608518,5.760975803905794,0.08333333333333333
1766652845.891711,60.0,44451.0,5.906890595608518,5.773557262275185,0.18333333333333332
1766652846.891711,60.0,50074.0,5.906890595608518,5.627642470572461,0.2
1766652847.891711,60.0,51008.0,5.906890595608518,5.7276424705724605,0.26666666666666666
1766652848.891711,60.0,49126.0,5.906890595608518,5.606890595608517,0.2
1766652849.891711,60.0,52047.0,5.906890595608518,5.5609758039057935,0.23333333333333334
1766652850.891711,60.0,47283.0,5.906890595608518,5.660975803905794,0.21666666666666667
1766652851.891711,60.0,43340.0,5.906890595608518,5.627642470572461,0.13333333333333333
1766652852.891711,60.0,51799.0,5.906890595608518,5.7068905956085185,0.15
1766652853.891711,60.0,41223.0,5.906890595608518,5.806890595608518,0.16666666666666666
1766652854.891711,60.0,46991.0,5.906890595608518,5.840223928941851,0.18333333333333332
1766652855.891711,60.0,48439.0,5.906890595608518,5.7068905956085185,0.18333333333333332
1766652856.891711,60.0,49062.0,5.906890595608518,5.660975803905794,0.26666666666666666
1766652857.891711,60.0,51217.0,5.906890595608518,5.740223928941852,0.21666666666666667
1766652858.891711,60.0,53912.0,5.906890595608518,5.673557262275185,0.2
1766652859.891711,60.0,44243.0,5.906890595608518,5.806890595608518,0.16666666666666666
1766652860.891711,60.0,41843.0,5.906890595608518,5.640223928941851,0.3333333333333333
1766652861.891711,60.0,46650.0,5.906890595608518,5.773557262275185,0.2
1766652862.891711,60.0,51009.0,5.906890595608518,5.5609758039057935,0.2833333333333333
1766652863.891711,60.0,52753.0,5.906890595608518,5.6150610122030695,0.2
1766652864.891711,60.0,42436.0,5.906890595608518,5.5609758039057935,0.18333333333333332
1766652865.891711,60.0,47928.0,5.906890595608518,5.840223928941851,0.16666666666666666
1766652866.891711,60.0,42962.0,5.906890595608518,5.773557262275185,0.13333333333333333
1766652867.891711,60.0,46234.0,5.906890595608518,5.673557262275185,0.1
1766652868.891711,60.0,43862.0,5.906890595608518,5.806890595608518,0.1
1766652869.891711,60.0,46673.0,5.906890595608518,5.627642470572461,0.13333333333333333
1766652870.891711,60.0,48272.0,5.906890595608518,5.740223928941852,0.21666666666666667
1766652871.891711,60.0,45674.0,5.906890595608518,5.581727678869736,0.16666666666666666
1766652872.891711,60.0,50642.0,5.906890595608518,5.673557262275185,0.15
1766652873.891711,60.0,47329.0,5.906890595608518,5.740223928941852,0.18333333333333332
1766652874.891711,60.0,51803.0,5.906890595608518,5.660975803905794,0.21666666666666667
1766652875.891711,60.0,47456.0,5.906890595608518,5.527642470572459,0.2
1766652876.891711,60.0,43227.0,5.906890595608518,5.627642470572461,0.21666666666666667
1766652877.891711,60.0,45345.0,5.906890595608518,5.7068905956085185,0.23333333333333334
1766652878.891711,60.0,44415.0,5.906890595608518,5.7068905956085185,0.16666666666666666
1766652879.891711,60.0,46732.0,5.906890595608518,5.594309137239128,0.18333333333333332
1766652880.891711,60.0,49884.0,5.906890595608518,5.740223928941852,0.18333333333333332
1766652881.891711,60.0,40879.0,5.906890595608518,5.5068905956085175,0.26666666666666666
1766652882.891711,60.0,45680.0,5.906890595608518,5.773557262275185,0.3333333333333333
1766652883.891711,60.0,46768.0,5.906890595608518,5.7068905956085185,0.11666666666666667
1766652884.891711,60.0,44889.0,5.906890595608518,5.51506101220307,0.13333333333333333
1766652885.891711,60.0,44984.0,5.906890595608518,5.694309137239127,0.26666666666666666
1766652886.891711,60.0,51393.0,5.906890595608518,5.6150610122030695,0.18333333333333332
1766652887.891711,60.0,45382.0,5.906890595608518,5.5609758039057935,0.18333333333333332
1766652888.891711,60.0,43385.0,5.906890595608518,5.773557262275185,0.18333333333333332
1766652889.891711,60.0,47509.0,5.906890595608518,5.7068905956085185,0.2
1766652890.891711,60.0,51805.0,5.906890595608518,5.806890595608518,0.21666666666666667
1766652891.891711,60.0,45719.0,5.906890595608518,5.7068905956085185,0.2
1766652892.891711,60.0,46472.0,5.906890595608518,5.694309137239127,0.16666666666666666
1766652893.891711,60.0,43888.0,5.906890595608518,5.694309137239127,0.21666666666666667
1766652894.891711,60.0,50420.0,5.906890595608518,5.627642470572461,0.23333333333333334
1766652895.891711,60.0,41613.0,5.906890595608518,5.7276424705724605,0.15
1766652896.891711,60.0,39554.0,5.906890595608518,5.773557262275185,0.21666666666666667
1766652897.891711,60.0,50484.0,5.906890595608518,5.773557262275185,0.23333333333333334
1766652898.891711,60.0,50913.0,5.906890595608518,5.540223928941851,0.23333333333333334
1766652899.891711,60.0,42357.0,5.906890595608518,5.806890595608518,0.23333333333333334
1766652900.891711,60.0,46414.0,5.906890595608518,5.740223928941852,0.16666666666666666
1766652901.891711,60.0,55006.0,5.906890595608518,5.640223928941851,0.15
1766652902.891711,60.0,48560.0,5.906890595608518,5.806890595608518,0.21666666666666667
1766652903.891711,60.0,45427.0,5.906890595608518,5.773557262275185,0.25
1766652904.891711,60.0,45921.0,5.906890595608518,5.7068905956085185,0.2833333333333333
1766652905.891711,60.0,47210.0,5.906890595608518,5.673557262275185,0.16666666666666666
1766652906.891711,60.0,45134.0,5.906890595608518,5.673557262275185,0.21666666666666667
1766652907.891711,60.0,47949.0,5.906890595608518,5.740223928941852,0.2
1766652908.891711,60.0,45887.0,5.906890595608518,5.740223928941852,0.1
